,DATASET,MODEL,PARAMETER,SCORE
0,MCYT,RandomForest(10 fold CV),4,0.15599999999999997
1,MCYT,RandomForest(10 fold CV),8,0.23200000000000004
2,MCYT,RandomForest(10 fold CV),16,0.32599999999999996
3,MCYT,RandomForest(10 fold CV),32,0.41
4,MCYT,RandomForest(10 fold CV),64,0.5139999999999999
5,MCYT,RandomForest(10 fold CV),128,0.5980000000000001
6,MCYT,RandomForest(10 fold CV),256,0.6499999999999999
7,MCYT,FCN,4,0.138
8,MCYT,FCN,8,0.53
9,MCYT,FCN,16,0.694
10,MCYT,FCN,32,0.836
11,MCYT,FCN,64,0.93
12,MCYT,FCN,128,0.952
13,MCYT,FCN,256,0.958
14,MOBISIG,RandomForest(10 fold CV),4,0.42690090090090094
15,MOBISIG,RandomForest(10 fold CV),8,0.5835675675675676
16,MOBISIG,RandomForest(10 fold CV),16,0.7455495495495497
17,MOBISIG,RandomForest(10 fold CV),32,0.8244684684684686
18,MOBISIG,RandomForest(10 fold CV),64,0.8768468468468468
19,MOBISIG,RandomForest(10 fold CV),128,0.8954594594594594
20,MOBISIG,RandomForest(10 fold CV),256,0.9049189189189188
21,MOBISIG,FCN,4,0.40562248995983935
22,MOBISIG,FCN,8,0.7282463186077643
23,MOBISIG,FCN,16,0.856760374832664
24,MOBISIG,FCN,32,0.9410977242302544
25,MOBISIG,FCN,64,0.9705488621151271
26,MOBISIG,FCN,128,0.965194109772423
27,MOBISIG,FCN,256,0.9812583668005355
